liga,url,Home_team,Away_team,id,fecha,1_Average,X_Average,2_Average,1_Highest,X_Highest,2_Highest,H_Average,A_Average,H_Highest,A_Highest,1X_Average,12_Average,X2_Average,1X_Highest,12_Highest,X2_Highest
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-new-york-knicks-Igzo14wH/,Indiana Pacers,New York Knicks,18 May 2024_NBA_Indiana Pacers_New York Knicks,18 May 2024,1.55,16.67,2.52,1.56,20.00,2.70,1.50,2.68,1.51,2.70,1.44,1.03,2.50,1.44,1.03,2.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-UDcZnEI6/,Minnesota Timberwolves,Denver Nuggets,17 May 2024_NBA_Minnesota Timberwolves_Denver Nuggets,17 May 2024,1.71,17.00,2.18,1.78,20.00,2.30,1.77,2.10,1.78,2.11,1.56,1.04,2.10,1.56,1.04,2.10
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/oklahoma-city-thunder-dallas-mavericks-jcsNECMt/,Oklahoma City Thunder,Dallas Mavericks,16 May 2024_NBA_Oklahoma City Thunder_Dallas Mavericks,16 May 2024,1.63,15.33,2.35,1.63,16.00,2.45,1.53,2.57,1.53,2.61,1.50,1.04,2.25,1.50,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-lj28NK5j/,Boston Celtics,Cleveland Cavaliers,16 May 2024_NBA_Boston Celtics_Cleveland Cavaliers,16 May 2024,1.18,19.33,4.98,1.22,20.00,5.50,1.06,9.96,1.07,10.50,1.13,1.02,5.00,1.13,1.02,5.00
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-n1nnoQCs/,Denver Nuggets,Minnesota Timberwolves,15 May 2024_NBA_Denver Nuggets_Minnesota Timberwolves,15 May 2024,1.61,15.00,2.45,1.65,15.00,2.50,1.54,2.55,1.57,2.60,1.53,1.04,2.25,1.53,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-york-knicks-indiana-pacers-6kRuDu1b/,New York Knicks,Indiana Pacers,15 May 2024_NBA_New York Knicks_Indiana Pacers,15 May 2024,1.87,15.00,1.98,1.91,15.00,2.00,1.83,2.00,1.85,2.02,1.80,1.04,1.80,1.80,1.04,1.80
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-oklahoma-city-thunder-Io2yKiA5/,Dallas Mavericks,Oklahoma City Thunder,14 May 2024_NBA_Dallas Mavericks_Oklahoma City Thunder,14 May 2024,1.85,15.00,2.01,1.87,15.00,2.05,1.84,1.99,1.87,2.02,1.74,1.04,1.87,1.74,1.04,1.87
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/cleveland-cavaliers-boston-celtics-vcMXAHxR/,Cleveland Cavaliers,Boston Celtics,14 May 2024_NBA_Cleveland Cavaliers_Boston Celtics,14 May 2024,4.13,17.00,1.25,4.40,17.00,1.25,6.01,1.14,6.28,1.14,4.00,1.03,1.20,4.00,1.03,1.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-lnOqvsp4/,Minnesota Timberwolves,Denver Nuggets,13 May 2024_NBA_Minnesota Timberwolves_Denver Nuggets,13 May 2024,1.60,15.50,2.42,1.63,16.00,2.50,1.57,2.49,1.61,2.55,1.48,1.04,2.40,1.48,1.04,2.40
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-new-york-knicks-2RTpI9o1/,Indiana Pacers,New York Knicks,12 May 2024_NBA_Indiana Pacers_New York Knicks,12 May 2024,1.52,15.50,2.68,1.56,16.00,2.70,1.43,2.94,1.47,3.05,1.44,1.03,2.50,1.44,1.03,2.50
