liga,url,Home_team,Away_team,id,fecha,1_Average,X_Average,2_Average,1_Highest,X_Highest,2_Highest,H_Average,A_Average,H_Highest,A_Highest,1X_Average,12_Average,X2_Average,1X_Highest,12_Highest,X2_Highest
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/oklahoma-city-thunder-sacramento-kings-bsLCjM8a/,Oklahoma City Thunder,Sacramento Kings,10 Apr 2024_NBA_Oklahoma City Thunder_Sacramento Kings,10 Apr 2024,1.57,15.50,2.50,1.63,16.00,2.50,1.49,2.71,1.51,2.75,1.50,1.04,2.25,1.50,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/atlanta-hawks-miami-heat-f50ybM0J/,Atlanta Hawks,Miami Heat,10 Apr 2024_NBA_Atlanta Hawks_Miami Heat,10 Apr 2024,2.20,15.50,1.71,2.25,16.00,1.74,2.35,1.62,2.40,1.66,2.00,1.04,1.61,2.00,1.04,1.61
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/milwaukee-bucks-boston-celtics-ShsUbp1J/,Milwaukee Bucks,Boston Celtics,10 Apr 2024_NBA_Milwaukee Bucks_Boston Celtics,10 Apr 2024,1.71,15.00,2.24,1.74,15.00,2.30,1.61,2.38,1.63,2.45,1.56,1.04,2.10,1.56,1.04,2.10
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-dallas-mavericks-Mi2TarW6/,Charlotte Hornets,Dallas Mavericks,10 Apr 2024_NBA_Charlotte Hornets_Dallas Mavericks,10 Apr 2024,4.18,18.00,1.26,4.40,19.00,1.29,6.38,1.13,6.54,1.13,4.00,1.03,1.20,4.00,1.03,1.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/philadelphia-76ers-detroit-pistons-GE1Xb2oD/,Philadelphia 76ers,Detroit Pistons,10 Apr 2024_NBA_Philadelphia 76ers_Detroit Pistons,10 Apr 2024,1.17,19.00,5.08,1.20,19.00,5.25,1.08,8.63,1.10,9.50,1.15,1.02,4.50,1.15,1.02,4.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/toronto-raptors-indiana-pacers-lv86jG9h/,Toronto Raptors,Indiana Pacers,10 Apr 2024_NBA_Toronto Raptors_Indiana Pacers,10 Apr 2024,4.18,18.50,1.25,4.40,19.00,1.29,7.38,1.10,8.00,1.11,4.00,1.03,1.20,4.00,1.03,1.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-lakers-minnesota-timberwolves-AHbP0OG0/,Los Angeles Lakers,Minnesota Timberwolves,08 Apr 2024_NBA_Los Angeles Lakers_Minnesota Timberwolves,08 Apr 2024,2.09,15.00,1.79,2.15,15.00,1.80,2.14,1.74,2.16,1.77,1.91,1.04,1.67,1.91,1.04,1.67
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/golden-state-warriors-utah-jazz-Sh9K141f/,Golden State Warriors,Utah Jazz,08 Apr 2024_NBA_Golden State Warriors_Utah Jazz,08 Apr 2024,1.25,17.50,4.10,1.25,18.00,4.50,1.13,6.26,1.14,6.50,1.22,1.03,3.65,1.22,1.03,3.65
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-sacramento-kings-l2AG2pnl/,Brooklyn Nets,Sacramento Kings,08 Apr 2024_NBA_Brooklyn Nets_Sacramento Kings,08 Apr 2024,3.68,17.50,1.29,3.75,18.00,1.31,4.89,1.18,5.04,1.20,3.40,1.03,1.24,3.40,1.03,1.24
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/milwaukee-bucks-new-york-knicks-IJJp86OQ/,Milwaukee Bucks,New York Knicks,08 Apr 2024_NBA_Milwaukee Bucks_New York Knicks,08 Apr 2024,1.64,15.50,2.38,1.65,16.00,2.50,1.54,2.54,1.55,2.60,1.53,1.04,2.20,1.53,1.04,2.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/san-antonio-spurs-philadelphia-76ers-KS5C3QWs/,San Antonio Spurs,Philadelphia 76ers,08 Apr 2024_NBA_San Antonio Spurs_Philadelphia 76ers,08 Apr 2024,2.29,15.50,1.66,2.30,16.00,1.71,2.45,1.58,2.56,1.61,2.00,1.04,1.61,2.00,1.04,1.61
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-portland-trail-blazers-UcwjnP17/,Boston Celtics,Portland Trail Blazers,08 Apr 2024_NBA_Boston Celtics_Portland Trail Blazers,08 Apr 2024,1.13,20.50,5.93,1.15,21.00,6.25,1.06,9.76,1.08,11.00,1.11,1.02,5.50,1.11,1.02,5.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-oklahoma-city-thunder-8lxfoqHD/,Charlotte Hornets,Oklahoma City Thunder,08 Apr 2024_NBA_Charlotte Hornets_Oklahoma City Thunder,08 Apr 2024,3.00,17.00,1.40,3.10,17.00,1.42,3.44,1.33,3.57,1.36,2.75,1.03,1.35,2.75,1.03,1.35
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/orlando-magic-chicago-bulls-MiQyASgE/,Orlando Magic,Chicago Bulls,08 Apr 2024_NBA_Orlando Magic_Chicago Bulls,08 Apr 2024,1.46,15.50,2.85,1.50,16.00,2.90,1.36,3.24,1.39,3.31,1.37,1.03,2.65,1.37,1.03,2.65
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/phoenix-suns-new-orleans-pelicans-zeUu9n9K/,Phoenix Suns,New Orleans Pelicans,08 Apr 2024_NBA_Phoenix Suns_New Orleans Pelicans,08 Apr 2024,1.53,15.50,2.60,1.53,16.00,2.75,1.44,2.85,1.45,2.90,1.42,1.03,2.50,1.42,1.03,2.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/toronto-raptors-washington-wizards-W2D1idfn/,Toronto Raptors,Washington Wizards,08 Apr 2024_NBA_Toronto Raptors_Washington Wizards,08 Apr 2024,1.61,15.50,2.38,1.63,16.00,2.45,1.50,2.66,1.53,2.72,1.53,1.04,2.25,1.53,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-miami-heat-lnMhm5n1/,Indiana Pacers,Miami Heat,07 Apr 2024_NBA_Indiana Pacers_Miami Heat,07 Apr 2024,1.71,15.00,2.21,1.74,15.00,2.25,1.70,2.22,1.71,2.27,1.63,1.04,2.00,1.63,1.04,2.00
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-houston-rockets-GYNpkRHl/,Dallas Mavericks,Houston Rockets,07 Apr 2024_NBA_Dallas Mavericks_Houston Rockets,07 Apr 2024,1.38,17.00,3.25,1.40,17.00,3.40,1.25,4.14,1.25,4.21,1.29,1.03,3.10,1.29,1.03,3.10
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-clippers-cleveland-cavaliers-AeNlloXf/,Los Angeles Clippers,Cleveland Cavaliers,07 Apr 2024_NBA_Los Angeles Clippers_Cleveland Cavaliers,07 Apr 2024,1.66,15.50,2.34,1.67,16.00,2.50,1.55,2.52,1.57,2.60,1.56,1.04,2.10,1.56,1.04,2.10
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-atlanta-hawks-2VJtj72r/,Denver Nuggets,Atlanta Hawks,07 Apr 2024_NBA_Denver Nuggets_Atlanta Hawks,07 Apr 2024,1.27,18.25,4.00,1.29,19.50,4.55,1.16,5.55,1.17,6.03,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/memphis-grizzlies-philadelphia-76ers-MX5C7ZXF/,Memphis Grizzlies,Philadelphia 76ers,07 Apr 2024_NBA_Memphis Grizzlies_Philadelphia 76ers,07 Apr 2024,5.25,20.00,1.17,6.00,21.00,1.18,8.75,1.08,9.00,1.08,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-detroit-pistons-rs788FI9/,Brooklyn Nets,Detroit Pistons,07 Apr 2024_NBA_Brooklyn Nets_Detroit Pistons,07 Apr 2024,1.34,17.00,3.45,1.36,17.00,3.70,1.21,4.62,1.22,4.79,1.26,1.03,3.25,1.26,1.03,3.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-lakers-cleveland-cavaliers-E7249e33/,Los Angeles Lakers,Cleveland Cavaliers,06 Apr 2024_NBA_Los Angeles Lakers_Cleveland Cavaliers,06 Apr 2024,1.60,15.50,2.40,1.63,16.00,2.45,1.49,2.72,1.50,2.76,1.50,1.04,2.25,1.50,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-clippers-utah-jazz-zH30Aylc/,Los Angeles Clippers,Utah Jazz,06 Apr 2024_NBA_Los Angeles Clippers_Utah Jazz,06 Apr 2024,1.24,17.50,4.20,1.25,18.00,4.50,1.13,6.47,1.13,6.54,1.20,1.03,3.70,1.20,1.03,3.70
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-YBPHohBd/,Phoenix Suns,Minnesota Timberwolves,06 Apr 2024_NBA_Phoenix Suns_Minnesota Timberwolves,06 Apr 2024,1.63,15.50,2.38,1.65,16.00,2.50,1.53,2.57,1.53,2.61,1.53,1.04,2.25,1.53,1.04,2.25
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-golden-state-warriors-tbz1d5Vi/,Dallas Mavericks,Golden State Warriors,06 Apr 2024_NBA_Dallas Mavericks_Golden State Warriors,06 Apr 2024,1.92,16.25,1.95,1.93,17.50,2.03,1.89,1.93,1.91,1.98,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/chicago-bulls-new-york-knicks-rTRZgG3G/,Chicago Bulls,New York Knicks,06 Apr 2024_NBA_Chicago Bulls_New York Knicks,06 Apr 2024,1.97,15.00,1.88,1.98,15.00,1.95,2.01,1.82,2.05,1.85,1.77,1.04,1.83,1.77,1.04,1.83
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/houston-rockets-miami-heat-MJQwgzJM/,Houston Rockets,Miami Heat,06 Apr 2024_NBA_Houston Rockets_Miami Heat,06 Apr 2024,2.20,15.00,1.72,2.25,15.00,1.74,2.33,1.64,2.40,1.67,2.00,1.04,1.61,2.00,1.04,1.61
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/memphis-grizzlies-detroit-pistons-veLrhfYS/,Memphis Grizzlies,Detroit Pistons,06 Apr 2024_NBA_Memphis Grizzlies_Detroit Pistons,06 Apr 2024,1.97,15.00,1.88,1.98,15.00,1.95,1.90,1.91,1.95,1.97,1.77,1.04,1.83,1.77,1.04,1.83
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/milwaukee-bucks-toronto-raptors-hCEchxut/,Milwaukee Bucks,Toronto Raptors,06 Apr 2024_NBA_Milwaukee Bucks_Toronto Raptors,06 Apr 2024,1.20,18.75,4.75,1.22,19.00,5.00,1.09,8.21,1.09,8.50,1.15,1.02,4.50,1.15,1.02,4.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-orleans-pelicans-san-antonio-spurs-t47AmEtp/,New Orleans Pelicans,San Antonio Spurs,06 Apr 2024_NBA_New Orleans Pelicans_San Antonio Spurs,06 Apr 2024,1.28,17.00,3.83,1.29,17.00,4.20,1.15,5.67,1.17,6.54,1.20,1.03,3.70,1.20,1.03,3.70
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-sacramento-kings-l6SVfdlA/,Boston Celtics,Sacramento Kings,06 Apr 2024_NBA_Boston Celtics_Sacramento Kings,06 Apr 2024,1.32,17.75,3.39,1.32,18.50,3.57,1.25,4.10,1.29,4.40,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-orlando-magic-EmzJcb4i/,Charlotte Hornets,Orlando Magic,06 Apr 2024_NBA_Charlotte Hornets_Orlando Magic,06 Apr 2024,4.10,17.50,1.25,4.25,18.00,1.27,6.13,1.13,6.50,1.15,3.70,1.03,1.20,3.70,1.03,1.20
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-oklahoma-city-thunder-hvZMdIJc/,Indiana Pacers,Oklahoma City Thunder,06 Apr 2024_NBA_Indiana Pacers_Oklahoma City Thunder,06 Apr 2024,1.56,15.50,2.50,1.57,16.00,2.60,1.43,2.90,1.44,2.95,1.48,1.03,2.40,1.48,1.03,2.40
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/washington-wizards-portland-trail-blazers-z3ORexZ3/,Washington Wizards,Portland Trail Blazers,06 Apr 2024_NBA_Washington Wizards_Portland Trail Blazers,06 Apr 2024,1.77,15.50,2.10,1.80,16.00,2.15,1.71,2.18,1.72,2.20,1.67,1.04,1.91,1.67,1.04,1.91
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-clippers-denver-nuggets-nsnyZERj/,Los Angeles Clippers,Denver Nuggets,05 Apr 2024_NBA_Los Angeles Clippers_Denver Nuggets,05 Apr 2024,2.25,15.50,1.68,2.30,16.00,1.71,2.25,1.67,2.30,1.68,2.00,1.04,1.61,2.00,1.04,1.61
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/houston-rockets-golden-state-warriors-8jmXZfCp/,Houston Rockets,Golden State Warriors,05 Apr 2024_NBA_Houston Rockets_Golden State Warriors,05 Apr 2024,2.23,15.50,1.69,2.25,16.00,1.74,2.25,1.67,2.30,1.68,2.00,1.04,1.61,2.00,1.04,1.61
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-atlanta-hawks-zR6EnYej/,Dallas Mavericks,Atlanta Hawks,05 Apr 2024_NBA_Dallas Mavericks_Atlanta Hawks,05 Apr 2024,1.25,17.50,4.10,1.25,18.00,4.50,1.14,5.88,1.17,6.28,1.22,1.03,3.65,1.22,1.03,3.65
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/miami-heat-philadelphia-76ers-l660uHlN/,Miami Heat,Philadelphia 76ers,05 Apr 2024_NBA_Miami Heat_Philadelphia 76ers,05 Apr 2024,1.73,15.00,2.17,1.74,15.00,2.25,1.67,2.24,1.71,2.30,1.61,1.04,2.00,1.61,1.04,2.00
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-york-knicks-sacramento-kings-29A4vy4T/,New York Knicks,Sacramento Kings,05 Apr 2024_NBA_New York Knicks_Sacramento Kings,05 Apr 2024,1.71,15.50,2.20,1.74,16.00,2.25,1.62,2.36,1.63,2.40,1.61,1.04,2.00,1.61,1.04,2.00
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/phoenix-suns-cleveland-cavaliers-fq7dtcZG/,Phoenix Suns,Cleveland Cavaliers,04 Apr 2024_NBA_Phoenix Suns_Cleveland Cavaliers,04 Apr 2024,1.52,15.50,2.60,1.53,16.00,2.70,1.42,2.94,1.44,3.05,1.42,1.03,2.50,1.42,1.03,2.50
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/milwaukee-bucks-memphis-grizzlies-bHDmrJ44/,Milwaukee Bucks,Memphis Grizzlies,04 Apr 2024_NBA_Milwaukee Bucks_Memphis Grizzlies,04 Apr 2024,1.23,17.50,4.22,1.25,18.00,4.40,1.12,6.88,1.13,7.00,1.18,1.03,4.00,1.18,1.03,4.00
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-toronto-raptors-tz2jpumJ/,Minnesota Timberwolves,Toronto Raptors,04 Apr 2024_NBA_Minnesota Timberwolves_Toronto Raptors,04 Apr 2024,1.15,19.50,5.55,1.17,20.00,6.00,,,,,1.12,1.02,5.00,1.12,1.02,5.00
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/new-orleans-pelicans-orlando-magic-Gh8hswKA/,New Orleans Pelicans,Orlando Magic,04 Apr 2024_NBA_New Orleans Pelicans_Orlando Magic,04 Apr 2024,1.55,15.50,2.50,1.56,16.00,2.60,1.51,2.65,1.53,2.70,1.46,1.03,2.40,1.46,1.03,2.40
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/atlanta-hawks-detroit-pistons-ETByoLKo/,Atlanta Hawks,Detroit Pistons,04 Apr 2024_NBA_Atlanta Hawks_Detroit Pistons,04 Apr 2024,1.25,17.50,4.08,1.27,18.00,4.40,1.14,5.88,1.15,6.03,1.18,1.03,4.00,1.18,1.03,4.00
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-oklahoma-city-thunder-Q3Fupuzh/,Boston Celtics,Oklahoma City Thunder,04 Apr 2024_NBA_Boston Celtics_Oklahoma City Thunder,04 Apr 2024,1.25,18.50,4.15,1.27,19.00,4.40,1.14,6.09,1.15,6.25,1.20,1.03,3.90,1.20,1.03,3.90
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/,Brooklyn Nets,Indiana Pacers,04 Apr 2024_NBA_Brooklyn Nets_Indiana Pacers,04 Apr 2024,2.65,16.00,1.50,2.70,17.00,1.53,,,,,,,,,,
