URL,H_TEAM_NICKNAME,A_TEAM_NICKNAME,GAME_DATE,H_TEAM_ID,A_TEAM_ID,GAME_ID
https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-toronto-raptors-SU6AkzPb/,Brooklyn Nets,Toronto Raptors,2024-04-11,1610612751.0,1610612761.0,0022301160
https://www.oddsportal.com/basketball/usa/nba-2023-2024/miami-heat-dallas-mavericks-0Ods618n/,Miami Heat,Dallas Mavericks,2024-04-11,1610612748.0,1610612742.0,0022301161
https://www.oddsportal.com/basketball/usa/nba-2023-2024/cleveland-cavaliers-memphis-grizzlies-tvGABNpP/,Cleveland Cavaliers,Memphis Grizzlies,2024-04-11,1610612739.0,1610612763.0,0022301158
https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-lakers-golden-state-warriors-W8YJl0wC/,Los Angeles Lakers,Golden State Warriors,2024-04-10,1610612747.0,1610612744.0,0022301155
https://www.oddsportal.com/basketball/usa/nba-2023-2024/phoenix-suns-los-angeles-clippers-EXNOmKhI/,Phoenix Suns,Los Angeles Clippers,2024-04-10,1610612756.0,1610612746.0,0022301156
https://www.oddsportal.com/basketball/usa/nba-2023-2024/portland-trail-blazers-new-orleans-pelicans-SzSSnv8O/,Portland Trail Blazers,New Orleans Pelicans,2024-04-10,1610612757.0,1610612740.0,0022301157
https://www.oddsportal.com/basketball/usa/nba-2023-2024/utah-jazz-denver-nuggets-hIZFktO5/,Utah Jazz,Denver Nuggets,2024-04-10,1610612762.0,1610612743.0,0022301154
https://www.oddsportal.com/basketball/usa/nba-2023-2024/chicago-bulls-new-york-knicks-6qtYc4GP/,Chicago Bulls,New York Knicks,2024-04-10,1610612741.0,1610612752.0,0022301149
https://www.oddsportal.com/basketball/usa/nba-2023-2024/houston-rockets-orlando-magic-OOSagOOt/,Houston Rockets,Orlando Magic,2024-04-10,1610612745.0,1610612753.0,0022301150
https://www.oddsportal.com/basketball/usa/nba-2023-2024/memphis-grizzlies-san-antonio-spurs-xSW3hrvm/,Memphis Grizzlies,San Antonio Spurs,2024-04-10,1610612763.0,1610612759.0,0022301151
https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-washington-wizards-KjM8i2gg/,Minnesota Timberwolves,Washington Wizards,2024-04-10,1610612750.0,1610612764.0,0022301152
https://www.oddsportal.com/basketball/usa/nba-2023-2024/oklahoma-city-thunder-sacramento-kings-bsLCjM8a/,Oklahoma City Thunder,Sacramento Kings,2024-04-10,1610612760.0,1610612758.0,0022301153
https://www.oddsportal.com/basketball/usa/nba-2023-2024/atlanta-hawks-miami-heat-f50ybM0J/,Atlanta Hawks,Miami Heat,2024-04-10,1610612737.0,1610612748.0,0022301147
https://www.oddsportal.com/basketball/usa/nba-2023-2024/milwaukee-bucks-boston-celtics-ShsUbp1J/,Milwaukee Bucks,Boston Celtics,2024-04-10,1610612749.0,1610612738.0,0022301148
https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-dallas-mavericks-Mi2TarW6/,Charlotte Hornets,Dallas Mavericks,2024-04-10,1610612766.0,1610612742.0,0022301144
https://www.oddsportal.com/basketball/usa/nba-2023-2024/philadelphia-76ers-detroit-pistons-GE1Xb2oD/,Philadelphia 76ers,Detroit Pistons,2024-04-10,1610612755.0,1610612765.0,0022301145
https://www.oddsportal.com/basketball/usa/nba-2023-2024/toronto-raptors-indiana-pacers-lv86jG9h/,Toronto Raptors,Indiana Pacers,2024-04-10,1610612761.0,1610612754.0,0022301146
https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-lakers-minnesota-timberwolves-AHbP0OG0/,Los Angeles Lakers,Minnesota Timberwolves,2024-04-08,1610612747.0,1610612750.0,0022301143
https://www.oddsportal.com/basketball/usa/nba-2023-2024/golden-state-warriors-utah-jazz-Sh9K141f/,Golden State Warriors,Utah Jazz,2024-04-08,1610612744.0,1610612762.0,0022301142
https://www.oddsportal.com/basketball/usa/nba-2023-2024/brooklyn-nets-sacramento-kings-l2AG2pnl/,Brooklyn Nets,Sacramento Kings,2024-04-08,1610612751.0,1610612758.0,0022301141
https://www.oddsportal.com/basketball/usa/nba-2023-2024/milwaukee-bucks-new-york-knicks-IJJp86OQ/,Milwaukee Bucks,New York Knicks,2024-04-08,1610612749.0,1610612752.0,0022301139
https://www.oddsportal.com/basketball/usa/nba-2023-2024/san-antonio-spurs-philadelphia-76ers-KS5C3QWs/,San Antonio Spurs,Philadelphia 76ers,2024-04-08,1610612759.0,1610612755.0,0022301140
https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-portland-trail-blazers-UcwjnP17/,Boston Celtics,Portland Trail Blazers,2024-04-08,1610612738.0,1610612757.0,0022301134
https://www.oddsportal.com/basketball/usa/nba-2023-2024/charlotte-hornets-oklahoma-city-thunder-8lxfoqHD/,Charlotte Hornets,Oklahoma City Thunder,2024-04-08,1610612766.0,1610612760.0,0022301135
https://www.oddsportal.com/basketball/usa/nba-2023-2024/orlando-magic-chicago-bulls-MiQyASgE/,Orlando Magic,Chicago Bulls,2024-04-08,1610612753.0,1610612741.0,0022301136
https://www.oddsportal.com/basketball/usa/nba-2023-2024/phoenix-suns-new-orleans-pelicans-zeUu9n9K/,Phoenix Suns,New Orleans Pelicans,2024-04-08,1610612756.0,1610612740.0,0022301138
https://www.oddsportal.com/basketball/usa/nba-2023-2024/toronto-raptors-washington-wizards-W2D1idfn/,Toronto Raptors,Washington Wizards,2024-04-08,1610612761.0,1610612764.0,0022301137
https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-miami-heat-lnMhm5n1/,Indiana Pacers,Miami Heat,2024-04-07,1610612754.0,1610612748.0,0022301133
https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-houston-rockets-GYNpkRHl/,Dallas Mavericks,Houston Rockets,2024-04-07,1610612742.0,1610612745.0,0022301131
https://www.oddsportal.com/basketball/usa/nba-2023-2024/los-angeles-clippers-cleveland-cavaliers-AeNlloXf/,Los Angeles Clippers,Cleveland Cavaliers,2024-04-07,1610612746.0,1610612739.0,0022301132
https://www.oddsportal.com/basketball/usa/nba-2023-2024/denver-nuggets-atlanta-hawks-2VJtj72r/,Denver Nuggets,Atlanta Hawks,2024-04-07,1610612743.0,1610612737.0,0022301130
https://www.oddsportal.com/basketball/usa/nba-2023-2024/memphis-grizzlies-philadelphia-76ers-MX5C7ZXF/,Memphis Grizzlies,Philadelphia 76ers,2024-04-07,1610612763.0,1610612755.0,0022301129
