GAME_ID,Average_1,Average_X,Average_2,Highest_1,Highest_X,Highest_2,Average_H,Average_A,Highest_H,Highest_A,Average_1X,Average_12,Average_X2,Highest_1X,Highest_12,Highest_X2
0042300405,1.375,17.25,3.425,1.4,18.0,3.5,1.3566666666666667,3.2916666666666665,1.39,3.3,,,,,,
0042300404,2.05,12.5,1.955,2.05,13.0,2.0,1.9833333333333334,1.8483333333333334,2.0,1.9,,,,,,
0042300403,1.7349999999999999,14.5,2.295,1.75,15.0,2.34,1.685,2.215,1.7,2.25,,,,,,
0042300402,1.38,17.0,3.3499999999999996,1.4,18.0,3.4,1.3683333333333334,3.2,1.39,3.3,,,,,,
0042300401,1.435,16.5,3.1,1.45,18.0,3.1,1.4049999999999998,2.9966666666666666,1.42,3.05,,,,,,
0042300315,1.5350000000000001,15.75,2.725,1.57,16.0,2.75,1.5133333333333334,2.6283333333333334,1.53,2.65,,,,,,
0042300314,1.88,14.25,2.09,1.91,15.5,2.13,1.815,2.0266666666666664,1.83,2.06,,,,,,
0042300304,3.475,16.5,1.365,3.6,17.0,1.4,3.3666666666666667,1.335,3.4,1.35,,,,,,
0042300313,1.895,14.75,2.075,1.94,16.5,2.1,1.84,1.9916666666666667,1.87,2.0,,,,,,
0042300303,3.5,16.5,1.3650000000000002,3.6,17.0,1.37,3.3666666666666667,1.3383333333333334,3.4,1.36,,,,,,
0042300312,1.4249999999999998,16.25,3.1500000000000004,1.43,17.0,3.2,1.4033333333333333,3.025,1.44,3.1,,,,,,
0042300302,1.275,17.75,4.2,1.3,18.0,4.25,1.2533333333333334,4.083333333333333,1.27,4.2,,,,,,
0042300311,1.53,15.0,2.7,1.53,15.0,2.7,1.512,2.61,1.53,2.65,,,,,,
0042300301,1.25,17.0,4.4,1.25,17.0,4.4,1.23,4.2620000000000005,1.25,4.5,,,,,,
0042300237,1.53,15.0,2.7,1.53,15.0,2.7,1.524,2.6,1.56,2.7,,,,,,
0042300217,1.7,14.0,2.35,1.7,14.0,2.35,1.658,2.29,1.67,2.3,,,,,,
0042300226,1.62,14.5,2.45,1.62,14.5,2.45,1.576,2.4699999999999998,1.6,2.55,,,,,,
0042300216,1.5150000000000001,15.75,2.74,1.53,17.0,2.75,1.49,2.6883333333333335,1.5,2.75,,,,,,
0042300236,1.8,14.5,2.14,1.8,16.0,2.18,1.7650000000000001,2.1,1.77,2.1,,,,,,
0042300225,1.57,15.75,2.6,1.57,17.0,2.6,1.53,2.57,1.53,2.6,,,,,,
0042300205,1.07,23.0,9.1,1.08,26.0,9.5,1.06,9.866666666666667,1.07,10.5,,,,,,
